Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,77.824,77.824,screen dark,39.220572159999996
0,44.047,44.047,wifi running,0.20913956069999998
44.047,47.453,3.406000000000006,wifi scan,0.7660434600000013
47.453,77.824,30.370999999999995,wifi running,0.14420454509999997
0,77.824,77.824,audio,3.500679168
0,2.828,2.828,audio,0.127209096
0,77.824,77.824,phone_scanning,26.838540288
0.0,72.85058300000037,72.85058300000037,core 0 cpu_idle start,2.108787613455261
72.85058300000037,107.71500000000015,34.864416999999776,core 0 cpu_idle,1.0092115627947436
0.0,72.74643900000046,72.74643900000046,core 1 cpu_idle start,2.1057729831232637
72.74643900000046,107.71500000000015,34.96856099999968,core 1 cpu_idle,1.012226193126741
