Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,77.09,77.09,screen dark,35.54858879
0,43.651,43.651,wifi running,0.18964351554000003
43.651,47.099,3.4479999999999933,wifi scan,0.7095777119999986
47.099,77.09,29.991000000000007,wifi running,0.13029709914000004
0,77.09,77.09,audio,3.1729318920000003
0,2.798,2.798,audio,0.1151623224
0,77.09,77.09,phone_scanning,24.325811171999998
0.0,66.80780799999775,66.80780799999775,core 0 cpu_idle start,1.7695016662015406
66.80780799999775,73.2816060000041,6.473798000006354,core 0 cpu_idle,0.17146792703726832
73.2816060000041,73.34992300000158,0.06831699999747798,core 0 cpu_frequency,0.3532667601937787
73.34992300000158,73.67677600000752,0.32685300000594,core 0 cpu_idle,0.008657175642007329
73.67677600000752,73.67686000000685,8.399999933317304e-05,core 0 cpu_frequency,0.0005665074321028282
73.67686000000685,75.94573500000115,2.2688749999942956,core 0 cpu_idle,0.060094444243598916
75.94573500000115,75.95669600000838,0.010961000007227995,core 0 cpu_frequency,0.05667925935243591
75.95669600000838,77.14861499999824,1.1919189999898663,core 0 cpu_idle,0.031569702997281596
77.14861499999824,77.14919999999984,0.0005850000015925616,core 0 cpu_frequency,0.003025031182335126
77.14919999999984,77.79112500000338,0.641925000003539,core 0 cpu_idle,0.01700231441634374
77.79112500000338,77.80602800000634,0.014903000002959743,core 0 cpu_frequency,0.06903870294852113
77.80602800000634,79.82696700000088,2.0209389999945415,core 0 cpu_idle,0.053527499776405425
79.82696700000088,79.82970200000273,0.0027350000018486753,core 0 cpu_frequency,0.010094862060173444
79.82970200000273,82.23715700001048,2.407455000007758,core 0 cpu_idle,0.06376493648495549
82.23715700001048,82.25147699999798,0.014319999987492338,core 0 cpu_frequency,0.10705523688489366
82.25147699999798,82.35152200001176,0.10004500001377892,core 0 cpu_frequency,0.6747171012196769
82.35152200001176,87.65845300001092,5.306930999999167,core 0 cpu_idle,0.14056176258492795
87.65845300001092,87.66017400000419,0.001720999993267469,core 0 cpu_frequency,0.011606658268744895
87.66017400000419,87.93204500000866,0.2718710000044666,core 0 cpu_idle,0.007200897648068305
87.93204500000866,87.93272599999909,0.0006809999904362485,core 0 cpu_frequency,0.004592756653650758
87.93272599999909,88.29250400001183,0.35977800001273863,core 0 cpu_idle,0.009529242008437402
88.29250400001183,88.29274699999951,0.0002429999876767397,core 0 cpu_frequency,0.0016388250013402547
88.29274699999951,88.36107800000173,0.06833100000221748,core 0 cpu_idle,0.0018098456150087332
88.36107800000173,88.36128800000006,0.0002099999983329326,core 0 cpu_frequency,0.0010859086179796054
88.36128800000006,104.99366100000043,16.63237300000037,core 0 cpu_idle,0.44053251584585984
104.99366100000043,104.99681200001214,0.0031510000117123127,core 0 cpu_frequency,0.026069768504851702
104.99681200001214,106.44800000000396,1.4511879999918165,core 0 cpu_idle,0.03843681840238325
0.0,66.80889300000854,66.80889300000854,core 1 cpu_idle start,1.7695304040000763
66.80889300000854,73.2816129999992,6.472719999990659,core 1 cpu_idle,0.17143937464375258
73.2816129999992,73.33294300000125,0.051330000002053566,core 1 cpu_frequency,0.26542709431241895
73.33294300000125,73.67680600000313,0.34386300000187475,core 1 cpu_idle,0.009107710156399657
73.67680600000313,73.72852200000489,0.05171600000176113,core 1 cpu_frequency,0.3487797451452773
73.72852200000489,75.94574000001012,2.217218000005232,core 1 cpu_idle,0.05872623369623858
75.94574000001012,75.95170499999949,0.005964999989373609,core 1 cpu_frequency,0.030844975933951004
75.95170499999949,77.14862000000721,1.1969150000077207,core 1 cpu_idle,0.031702029301954496
77.14862000000721,77.1503420000081,0.0017220000008819625,core 1 cpu_frequency,0.008904450742680623
77.1503420000081,82.25148500000068,5.1011429999925895,core 1 cpu_idle,0.13511116901215373
82.25148500000068,82.41539999999804,0.1639149999973597,core 1 cpu_frequency,1.1054650770094434
82.41539999999804,87.65845800000534,5.243058000007295,core 1 cpu_idle,0.13886999356429322
87.65845800000534,87.68389300000854,0.025435000003199093,core 1 cpu_frequency,0.17153710299682512
87.68389300000854,87.93205000000307,0.248156999994535,core 1 cpu_idle,0.006572797972505252
87.93205000000307,87.93633500000578,0.004285000002710149,core 1 cpu_frequency,0.028898623421027614
87.93633500000578,88.29251199999999,0.3561769999942044,core 1 cpu_idle,0.009433864301496495
88.29251199999999,88.29266200000711,0.0001500000071246177,core 1 cpu_frequency,0.0010116204705493917
88.29266200000711,88.36111100000562,0.06844899999850895,core 1 cpu_idle,0.0018129710160105076
88.36111100000562,88.36119999999937,8.89999937498942e-05,core 1 cpu_frequency,0.0004602183856207438
88.36119999999937,106.44800000000396,18.086800000004587,core 1 cpu_idle,0.4790551238601215
