Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.114,70.114,screen dark,35.173809924
0,5.015,5.015,wifi running,0.023703096599999994
5.015,5.495,0.4800000000000004,wifi scan,0.1074643200000001
5.495,70.114,64.619,wifi running,0.30541782636
0,70.114,70.114,audio,3.1394805552
0,2.6790000000000003,2.6790000000000003,audio,0.11995704720000001
0,70.114,70.114,phone_scanning,24.069350923200002
0.0,62.162843999998586,62.162843999998586,core 0 cpu_idle start,1.7912037010067594
62.162843999998586,90.13799999999901,27.975156000000425,core 0 cpu_idle,0.8060957275932122
0.0,62.16384999999718,62.16384999999718,core 1 cpu_idle start,1.791232688594919
62.16384999999718,90.13799999999901,27.974150000001828,core 1 cpu_idle,0.8060667400050527
