Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.378,70.378,screen dark,34.982651704
0,70.378,70.378,wifi running,0.32958861936
0,70.378,70.378,audio,3.1224184992
0,2.06,2.06,audio,0.091394784
0,70.378,70.378,phone_scanning,23.938541827199998
0.0,62.67772799999966,62.67772799999966,core 0 cpu_idle start,1.7894867410367903
62.67772799999966,89.89499999999953,27.217271999999866,core 0 cpu_idle,0.7770694459631962
0.0,62.67761299999893,62.67761299999893,core 1 cpu_idle start,1.7894834577177694
62.67761299999893,89.89499999999953,27.2173870000006,core 1 cpu_idle,0.777072729282217
