Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,77.652,77.652,screen dark,38.598324336
0,67.19,67.19,wifi running,0.31465883279999995
67.19,67.416,0.2259999999999991,wifi scan,0.050134031999999794
67.416,77.652,10.236000000000004,wifi running,0.047936416320000015
0,77.652,77.652,audio,3.4451396928
0,2.809,2.809,audio,0.1246252176
0,77.652,77.652,phone_scanning,26.412737644799996
0.0,73.01093899999978,73.01093899999978,core 0 cpu_idle start,2.0845061150133937
73.01093899999978,84.96102699999938,11.950087999999596,core 0 cpu_idle,0.3411821824527885
84.96102699999938,84.96106199999849,3.499999911582563e-05,core 0 cpu_frequency,0.0002820489054748452
84.96106199999849,89.46280699999988,4.501745000001392,core 0 cpu_idle,0.12852752079703975
89.46280699999988,89.46311099999912,0.0003039999992324738,core 0 cpu_frequency,0.0012095062772662902
89.46311099999912,107.52199999999903,18.05888899999991,core 0 cpu_idle,0.5155921162833974
0.0,73.01301599999897,73.01301599999897,core 1 cpu_idle start,2.0845654146095707
73.01301599999897,107.52199999999903,34.508984000000055,core 1 cpu_idle,0.9852521985904016
