Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,82.689,82.689,screen dark,41.832447789
0,82.689,82.689,wifi running,0.39412388825999994
0,82.689,82.689,audio,3.7338052572
0,2.871,2.871,audio,0.1296394308
0,82.689,82.689,phone_scanning,28.6258403052
0.0,71.97280099999625,71.97280099999625,core 0 cpu_idle start,2.091382052817841
71.97280099999625,113.09300000002258,41.12019900002633,core 0 cpu_idle,1.1948686865328153
0.0,71.9728049999976,71.9728049999976,core 1 cpu_idle start,2.0913821690496808
71.9728049999976,113.09300000002258,41.12019500002498,core 1 cpu_idle,1.1948685703009758
