Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,82.658,82.658,screen dark,42.456868410000006
0,82.658,82.658,wifi running,0.40000685939999997
0,82.658,82.658,audio,3.7895386680000005
0,2.841,2.841,audio,0.13024848600000002
0,82.658,82.658,phone_scanning,29.053129788000003
0.0,72.1667529999977,72.1667529999977,core 0 cpu_idle start,2.129117672070682
72.1667529999977,112.71700000000055,40.550247000002855,core 0 cpu_idle,1.1963437996793342
0.0,72.16594699999769,72.16594699999769,core 1 cpu_idle start,2.129093892854182
72.16594699999769,112.71700000000055,40.55105300000287,core 1 cpu_idle,1.1963675788958346
