Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,77.809,77.809,screen dark,38.535140677
0,77.809,77.809,wifi running,0.36305835018
0,77.809,77.809,audio,3.4395001596
0,2.844,2.844,audio,0.12571731360000002
0,77.809,77.809,phone_scanning,26.369501223599997
0.0,73.89732899997034,73.89732899997034,core 0 cpu_idle start,2.1021092847983063
73.89732899997034,107.45999999999185,33.56267100002151,core 0 cpu_idle,0.954735486201462
0.0,73.89674399996875,73.89674399996875,core 1 cpu_idle start,2.1020926436835112
73.89674399996875,107.45999999999185,33.5632560000231,core 1 cpu_idle,0.9547521273162572
