Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,76.637,76.637,screen dark,39.095292632
0,53.225,53.225,wifi running,0.255812124
53.225,53.548,0.3230000000000004,wifi scan,0.07353547200000009
53.548,76.637,23.089,wifi running,0.11097127535999998
0,76.637,76.637,audio,3.4894971936000005
0,2.855,2.855,audio,0.129996144
0,76.637,76.637,phone_scanning,26.7528118176
0.0,70.16180899999745,70.16180899999745,core 0 cpu_idle start,2.0558251978707256
70.16180899999745,106.60200000000259,36.44019100000514,core 0 cpu_idle,1.0677413245293508
0.0,70.16288699999859,70.16288699999859,core 1 cpu_idle start,2.0558567845643587
70.16288699999859,106.60200000000259,36.439113000004,core 1 cpu_idle,1.0677097378357172
