Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.159,70.159,screen dark,31.885581683999998
0,70.159,70.159,wifi running,0.30040961256
0,70.159,70.159,audio,2.8459858032
0,2.672,2.672,audio,0.1083891456
0,70.159,70.159,phone_scanning,21.8192244912
0.0,62.492082999997365,62.492082999997365,core 0 cpu_idle start,1.6313058330485313
62.492082999997365,90.15399999999863,27.661917000001267,core 0 cpu_idle,0.7220922137514331
0.0,62.49726399999781,62.49726399999781,core 1 cpu_idle start,1.631441078908743
62.49726399999781,90.15399999999863,27.65673600000082,core 1 cpu_idle,0.7219569678912214
