Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,77.441,77.441,screen dark,40.030182192000005
0,22.93,22.93,wifi running,0.11167093439999999
22.93,23.146,0.21600000000000108,wifi scan,0.04982860800000025
23.146,77.441,54.295,wifi running,0.2644209936
0,77.441,77.441,audio,3.5729418816000007
0,2.863,2.863,audio,0.13209194880000003
0,77.441,77.441,phone_scanning,27.392554425600004
0.0,66.91191499998968,66.91191499998968,core 0 cpu_idle start,1.9866415211156936
66.91191499998968,106.66800000000512,39.756085000015446,core 0 cpu_idle,1.1803740660844586
0.0,66.90273799998977,66.90273799998977,core 1 cpu_idle start,1.9863690523148962
66.90273799998977,106.66800000000512,39.765262000015355,core 1 cpu_idle,1.180646534885256
