Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,76.971,76.971,screen dark,38.548539249
0,76.971,76.971,wifi running,0.36318458466000003
0,76.971,76.971,audio,3.4406960652000005
0,2.77,2.77,audio,0.12382232400000001
0,76.971,76.971,phone_scanning,26.3786698332
0.0,63.151098000002094,63.151098000002094,core 0 cpu_idle start,1.8166076426229605
63.151098000002094,96.14899999999761,32.99790199999552,core 0 cpu_idle,0.9492192988269713
0.0,63.229583000000275,63.229583000000275,core 1 cpu_idle start,1.8188653460571582
63.229583000000275,96.14899999999761,32.91941699999734,core 1 cpu_idle,0.9469615953927736
