Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,69.946,69.946,screen dark,34.835626055999995
0,69.946,69.946,wifi running,0.32820341903999994
0,69.946,69.946,audio,3.1092955488
0,2.609,2.609,audio,0.1159773552
0,69.946,69.946,phone_scanning,23.837932540799997
0.0,62.92281100001128,62.92281100001128,core 0 cpu_idle start,1.7999825160285226
62.92281100001128,89.06200000000536,26.139188999994076,core 0 cpu_idle,0.7477428683716305
0.0,62.944310000006226,62.944310000006226,core 1 cpu_idle start,1.800597520722178
62.944310000006226,89.06200000000536,26.11768999999913,core 1 cpu_idle,0.747127863677975
