Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,81.412,81.412,screen dark,41.81686674
0,53.177,53.177,wifi running,0.2573394561
53.177,56.387,3.210000000000001,wifi scan,0.7358283000000002
56.387,57.878,1.4909999999999997,wifi running,0.007215396299999998
57.878,58.654,0.7760000000000034,wifi scan,0.17788248000000076
58.654,81.412,22.758000000000003,wifi running,0.1101327894
0,81.412,81.412,audio,3.7324145520000007
0,2.492,2.492,audio,0.114248232
0,81.412,81.412,phone_scanning,28.615178232000005
0.0,62.071045000000595,62.071045000000595,core 0 cpu_idle start,1.8312665228737677
62.071045000000595,101.13999999999942,39.06895499999882,core 0 cpu_idle,1.1526416121262153
0.0,62.06983500000206,62.06983500000206,core 1 cpu_idle start,1.8312308245463107
62.06983500000206,101.13999999999942,39.07016499999736,core 1 cpu_idle,1.152677310453672
